treatment_id,salamander_id,weight_g,svl_mm,m_f,gsh_1_5_dilution_nM_mL,gsh_1_8_dilution_nM_mL,ache_ug_min_mg
C,CONS1,14.127,80.47,M,14.33466667,18.75973333,0.002543061
C,CONS2,21.9006,92.13,M,13.94616667,15.80906667,0.000725662
C,CONS3,21.9909,93.27,M,27.47866667,36.1576,0.001163541
C,CONS4,17.5221,83.59,M,11.64,12.5128,0.001621989
C,CONS5,18.2588,87.16,M,11.427,14.66346667,0.000737099
C,CONS6,18.8751,89.27,M,6.010833333,7.897866667,0.001184717
C,CONS7,22.7316,88.86,M,8.799166667,10.15653333,0.002179072
C,CONS8,17.946,82.67,M,15.87383333,18.85733333,0.003789513
C,CONS9,16.8055,88.86,M,5.962333333,8.268266667,0.003437057
C,CONS10,23.7729,100.29,M,11.6765,15.02106667,0.001573837
C,CONS11,12.2498,71.69,M,7.479,10.57733333,0.002936909
24D,DS1,20.8503,87.83,M,24.9715,20.33783333,0.001232294
24D,DS2,19.1217,85.92,M,16.519,20.536,0.001666101
24D,DS3,27.3707,92.68,M,18.21366667,23.29946667,0.002916909
24D,DS4,19.55,90.42,M,18.27466667,22.84906667,0.004297287
24D,DS5,15.8799,82.45,M,15.4615,19.2464,0.001446049
24D,DS6,15.655,87.64,M,13.26216667,17.60373333,0.001358612
24D,DS7,17.7963,87.17,M,4.693166667,5.8312,0.004835887
24D,DS8,16.1829,87.96,M,10.19883333,12.3144,0.002255579
24D,DS9,16.995,95.24,M,17.126,23.73066667,0.001905794
24D,DS10,18.878,82.83,F,12.4905,16.32746667,0.002331805
24D,DS11,21.023,89.94,M,10.44383333,15.72826667,0.002349212
CPS,CHLS1,14.9618,82.22,M,11.645,14.93386667,0.00318461
CPS,CHLS2,18.3294,82.87,M,7.944,11.04693333,0.001377392
CPS,CHLS3,16.2514,79.49,M,15.23883333,17.81813333,0.002453795
CPS,CHLS4,15.3349,82.15,M,18.83166667,24.07146667,0.00298928
CPS,CHLS5,15.5366,85.35,M,14.05533333,16.70213333,0.002942805
CPS,CHLS6,19.4639,88.05,M,6.888,10.20853333,0.001019211
CPS,CHLS7,20.7715,93.27,M,10.03233333,12.3368,0.002156165
CPS,CHLS8,13.8983,78.79,M,8.2315,11.19173333,0.003350097
CPS,CHLS9,19.659,89.02,M,7.9605,11.12933333,0.001095101
CPS,CHLS10,19.1877,90.24,M,7.371,13.1384,0.001246339
CPS,CHLS11,19.9736,82.4,M,6.8625,7.134666667,0.003166501
