sample,treatment,3-Hydroxybutyric_acid,Alanine,Asparagine,Aspartic_acid,Cysteine,Fructose,GABA,Glucose,Glutamic_acid,Glyceraldehyde,Glyceric_acid,Glycerol-3-phosphate,Fumarate,Glycine,Histidine,Homocysteine,Lactic_acid,Malic_acid,Methionine,Ornithine,Phosphoric acid,Pyruvic_acid,Sarcosine,Serine,Succinic_acid,Threonine,Urea
con 1,Control,90786.54,69104737.22,2229587.10,45544670.04,161437.74,41153236.01,6501604.76,86368748.68,23535888.03,580577.02,5675776.34,6053288.97,524133.88,34114301.24,14071.19,33083.65,120329025.29,22275194.81,4773136.79,15280626.19,15666019.54,1347352.337,275188.74,38177819.14,1211502.06,29649901.27,70905725.89
con 10,Control,65858.52,44495874.31,561112.16,78552621.16,452874.35,40070376.61,3788829.16,65900917.54,25405150.97,518068.77,2719611.76,3020248.22,357307.57,29080318.76,12175.21,21764.69,86119925.51,12382522.73,8340011.62,20955578.76,14679932.19,968005.2535,117259.05,36776947.47,317606.49,35175916.34,157243326.38
con 11,Control,110993.50,28747740.25,1091838.85,18695554.36,203216.33,15452695.29,3101388.68,44638192.98,14217036.13,12964019.90,2491869.85,2836220.05,511007.54,13881043.81,196.12,44563.85,18659782.31,6781916.47,2244732.79,5910074.76,10113951.58,466309.7912,183082.82,21981354.24,151165.14,11993105.56,40217627.82
con 2,Control,74717.99,17201444.94,205407.89,17240436.15,150344.44,16916200.25,3062821.41,63557014.5,8485797.121,512054.18,1449809.34,1651907.12,107588.83,12287771.15,130.80,9306.09,55475335.42,4891575.60,2132833.16,3372694.41,10192483.82,540330.0419,119641.68,13555091.71,114084.36,11109037.06,43357808.89
con 3,Control,96397.33,46351713.84,8405851.19,51874151.51,407355.72,34070642.83,2637800.65,73707737.18,25565536.76,1010479.40,6312024.35,17837458.85,201681.28,30122440.39,14085.77,32768.12,64638772.22,18494496.78,10116911.59,17790715.63,15023270.31,1203486.145,398773.47,38621909.20,236425.09,27227813.30,103557035.36
con 4,Control,161757.24,78118169.13,4298135.92,78959229.85,220591.06,41897171.20,6712601.22,110673891.2,31594549.33,908399.04,7266375.00,8222768.06,444617.01,36412791.18,81537.50,109589.72,134046709.32,23076926.35,5744658.84,23445984.15,22468750.11,1620750.012,154818.95,48568232.89,562089.65,38200181.00,76433017.71
con 5,Control,153461.13,22310394.32,381527.13,32363899.34,154283.24,29857102.41,3911994.59,66295088.64,16093698.69,580744.31,2324744.58,2333674.10,236150.08,20117853.08,53.19,54133.25,61345404.69,12153767.64,3000135.39,8714072.05,13850901.61,918530.3745,285908.82,21610460.59,826677.75,15606346.63,75792631.23
con 6,Control,73776.66,46262236.82,2591309.98,30793964.20,282795.00,35768035.62,3829642.21,69803357.02,23964133.17,680958.83,8031380.55,6890208.97,319857.00,27504637.44,417.38,47827.95,100446065.17,14840297.26,5065695.68,14155821.03,17045445.22,1249740.377,56964.44,30815343.76,460396.30,20607564.10,87101374.42
con 7,Control,57024.03,30070030.92,1188977.41,22341222.15,278627.99,14763398.84,1783920.50,38488789.27,10333502.54,529946.24,1864713.23,1419394.56,214107.53,15373909.17,152.27,8070.85,57724409.55,7190879.87,3130325.15,6662950.80,10158372.15,381913.6044,233170.31,17594247.48,120641.52,14673178.94,68413687.56
con 8,Control,83723.09,29356174.83,863360.86,27815811.32,166610.12,30318190.64,1722925.02,68006924.23,10212655.04,592395.61,2053856.78,3220330.44,216839.07,15328279.42,277.79,23071.71,67849459.31,6633967.51,1323429.58,7558913.51,11948974.58,480429.478,169507.93,19314062.66,183589.73,14863589.25,57341470.65
