sample,con1,con10,con11,con2,con3,con4,con5,con6,con7,con8,con9,cpf1,cpf10,cpf11,cpf2,cpf3,cpf4,cpf5,cpf6,cpf7,cpf8,cpf9,d1,d10,d2,d3,d4,d4,d5,d6,d7,d8,d9
3-Hydroxybutyric_acid,90786.54,65858.52,110993.50,74717.99,96397.33,161757.24,153461.13,73776.66,57024.03,83723.09,117642.18,50680.37,58091.94,86196.89,74331.58,121295.40,71912.10,67336.68,128459.31,148247.27,77071.96,66027.84,283443.78,395056.87,175670.18,222213.24,196108.27,36426.96,188682.65,20728.61,90297.02,88573.79,92725.62
Alanine,69104737.22,44495874.31,28747740.25,17201444.94,46351713.84,78118169.13,22310394.32,46262236.82,30070030.92,29356174.83,48011684.60,72510031.17,30225374.99,46755974.10,39644178.46,63984433.23,23384042.57,41968765.03,55609017.30,54937632.94,58512574.85,48584691.85,78410756.33,78899788.60,65837554.22,79219421.19,81410893.53,17267500.09,57036286.48,21178636.19,63893963.01,22574000.05,32476267.89
Asparagine,2229587.10,561112.16,1091838.85,205407.89,8405851.19,4298135.92,381527.13,2591309.98,1188977.41,863360.86,818298.69,4325053.72,1355050.70,1859445.25,2516399.27,11921429.28,398724.79,4943247.39,9393088.46,873015.84,1105522.75,452202.15,9826837.98,392957.50,2172603.02,7368815.97,7628054.98,207641.44,4601171.32,131509.56,2136249.83,1217301.35,496356.79
Aspartic_acid,45544670.04,78552621.16,18695554.36,17240436.15,51874151.51,78959229.85,32363899.34,30793964.20,22341222.15,27815811.32,68472700.31,51329910.62,26677991.82,48514491.56,26242319.24,26077349.02,22692443.82,34792548.82,76636881.05,80230985.77,42388844.68,55721652.78,28392547.89,57122928.19,44636576.74,63124617.23,65931304.23,26896001.62,51607904.48,16741321.25,59710289.45,24133152.33,53648607.12
Cysteine,161437.74,452874.35,203216.33,150344.44,407355.72,220591.06,154283.24,282795.00,278627.99,166610.12,185166.47,272012.62,86252.33,360046.60,191732.92,648547.83,160942.35,227930.17,197800.33,372203.75,237009.79,396690.68,431212.52,617447.76,319299.66,667701.89,570341.03,230802.24,241321.14,251436.82,235069.72,155890.60,158426.42
Fructose,41153236.01,40070376.61,15452695.29,16916200.25,34070642.83,41897171.20,29857102.41,35768035.62,14763398.84,30318190.64,24096996.02,39072411.75,23539893.84,22272908.97,39286806.95,39457579.15,26070322.07,33290783.28,49228845.29,32351262.85,20893179.84,22146571.94,49548827.91,72530845.14,40398024.38,41956432.82,41498640.99,14877960.69,45913710.39,20112143.98,41461520.86,16531171.10,28538973.87
Fumarate,524133.88,357307.57,511007.54,107588.83,201681.28,444617.01,236150.08,319857.00,214107.53,216839.07,677359.50,414343.53,296331.98,342032.98,417518.90,292887.53,314945.32,474026.67,271674.91,168362.53,388173.90,292447.39,1010806.62,565787.91,263663.62,560871.64,1060133.21,109949.54,934875.29,176509.65,336243.29,218862.66,171943.84
GABA,6501604.76,3788829.16,3101388.68,3062821.41,2637800.65,6712601.22,3911994.59,3829642.21,1783920.50,1722925.02,7282406.03,2767273.31,3755135.16,7896969.59,3145397.59,4602053.77,2104515.62,5639578.83,6270786.13,4965191.98,5521545.24,3062226.34,8049603.84,15328319.78,3653325.41,4173809.75,10146448.25,2323721.70,7809574.78,1822095.17,6227130.62,2077461.25,4026586.00
Glucose,86368748.68,65900917.54,44638192.98,63557014.50,73707737.18,110673891.16,66295088.64,69803357.02,38488789.27,68006924.23,71081857.48,66210205.64,58491044.01,61037284.12,84205143.05,55468381.11,48979579.31,66047868.37,86737686.62,65074069.74,52362924.34,62880819.47,81351228.67,95449094.02,66224582.93,68308259.34,63446839.47,51384328.80,76140782.30,44766325.56,96504122.65,50721005.78,61795612.87
Glutamic_acid,23535888.03,25405150.97,14217036.13,8485797.12,25565536.76,31594549.33,16093698.69,23964133.17,10333502.54,10212655.04,35811642.30,24963172.91,13361479.51,28152039.37,21424555.64,40029275.70,13052177.16,24454641.01,36051189.16,33951219.02,21184729.48,19136905.06,50604378.69,75254263.04,31354483.77,32889712.84,41575215.65,9146636.63,33289902.19,8484405.07,26814807.84,10672268.49,19961747.41
