kegg_compound,sample,cpf1,cpf10,cpf11,cpf2,cpf3,cpf4,cpf5,cpf6,cpf7,cpf8,cpf9
C01089,3-Hydroxybutyric_acid,0.558236618,0.882071766,0.77659407,0.994828432,1.25828587,0.444568022,0.438786559,1.741191597,2.59973312,0.920557999,0.561259957
C00049,Alanine,1.049277287,0.679284888,1.626422588,2.304700483,1.380411379,0.299341918,1.881130581,1.202039096,1.826989573,1.993194794,1.011934746
C00152,Asparagine,1.939845152,2.414937334,1.703040016,12.25074289,1.418229875,0.092766911,12.95647677,3.624841692,0.734257712,1.280487451,0.552612573
C00402,Aspartic_acid,1.127023438,0.339619371,2.594974753,1.522137782,0.502704107,0.287394442,1.07504193,2.488698128,3.591163689,1.523911857,0.813779105
C00097,Cysteine,1.684938198,0.190455326,1.771740489,1.27529104,1.592092127,0.72959598,1.477348874,0.699447756,1.335844761,1.422541431,2.142346222
C00095,Fructose,0.949437166,0.587463753,1.441360782,2.322436857,1.158110792,0.622245401,1.115003821,1.376336286,2.191315374,0.689130169,0.919059451
C00122,Fumarate,0.790529952,0.829347034,0.669330597,3.880690086,1.452229631,0.708351939,2.007311066,0.849363665,0.786345703,1.790147413,0.431746194
C00334,GABA,0.425629273,0.991107017,2.546268918,1.026960821,1.744655635,0.313517153,1.441612122,1.63743394,2.783303394,3.204750754,0.420496513
C00031,Glucose,0.766599107,0.887560389,1.367378024,1.324875684,0.752544892,0.442557669,0.996270911,1.242600504,1.690727897,0.769964602,0.88462544
C00025,Glutamic_acid,1.060642916,0.525935844,1.980162328,2.524754638,1.565751429,0.413114839,1.519516519,1.504381106,3.28554804,2.074360623,0.534376639
C00118,Glyceraldehyde,1.639812172,0.826659676,0.063941438,2.112616408,1.440688512,0.475636631,1.083496332,1.157008288,1.215778395,0.78668348,0.90225097
C00258,Glyceric_acid,1.037476692,0.679362988,1.953848116,3.669144603,1.303177191,0.551337639,2.680063615,0.808680607,1.398961989,1.394330818,0.592530247
C00093,Glycerol-3-phosphate,3.768310761,0.279002593,1.502573437,4.423851561,2.15342837,0.725387847,2.713705327,1.508092391,1.840013425,0.849430903,0.321346405
C00037,Glycine,0.933191647,0.756295991,2.328464773,2.017228436,1.301574516,0.52264826,1.286936383,1.352369834,2.384363449,1.815190975,0.76409114
C00135,Histidine,1.388653013,0.006108945,22.51136073,12.19798696,7.117523522,0.004157177,63.66431883,463.4996899,412.9805092,0.870366957,0.065377746
C00155,Homocysteine,0.684504442,0.903125238,0.763666163,4.233580845,1.639140127,0.133409103,0.985307521,0.617550998,2.75056915,2.147806059,0.416892429
C00186,Lactic_acid,0.807055754,1.159172612,5.372617274,2.158267343,1.162071823,0.581119665,1.855279949,0.759678039,1.335131071,1.351886559,0.621262667
C00149,Malic_acid,0.591132243,0.922238066,1.684407066,3.876857886,1.256436322,0.304781841,1.180786273,1.214654245,1.047844352,2.812100816,0.431162043
C00073,Methionine,1.72434432,0.135635232,2.696533314,2.29671381,1.504800345,0.305626682,1.044609397,2.57859512,2.938698347,2.17639215,1.005408005
C00077,Ornithine,1.207600535,0.253615271,2.440187324,2.834419903,1.691175267,0.178045285,1.526615326,1.802875676,4.288672369,1.447429655,0.600600052
C00009,Phosphoric acid,0.897033014,0.808724488,1.633351092,1.675687397,1.082810969,0.565195303,1.295382335,0.931996958,1.425254734,0.660133994,0.592608657
C00022,Pyruvic_acid,1.057839577,0.589212067,1.770584782,2.80269962,1.098857642,0.397439525,1.015597857,1.10866072,2.2971141,1.228370699,0.548836803
C00213,Sarcosine,1.281135294,2.145709621,2.00825827,1.918463653,1.275718293,0.415269789,0.878298445,13.2119269,1.790910045,1.889914862,0.848246285
C00065,Serine,1.017478734,0.665879868,1.754602839,1.791623723,1.217407782,0.42906608,1.467110476,1.572626684,2.551352814,1.499469693,0.735264563
C00042,Succinic_acid,0.164721638,1.672845202,1.133034476,33.13748148,4.402268997,0.41935859,0.338111397,1.604041576,1.204510945,7.866646441,0.235948667
C00188,Threonine,1.008568707,0.457074347,2.671086734,1.757714785,1.359169072,0.329392722,1.402954733,2.07056814,2.897575766,1.514687132,0.761882405
C00086,Urea,1.122891436,0.390069221,2.262269567,3.023925154,0.852509402,1.126516974,1.388308866,0.86494922,0.892655034,1.192001376,1.352628447
