Sample ID,Weight (gm),SVL (mm),Male/Female,AChE (ug/min/mg)
CHL1,14.9618,82.22,M,0.00318461
CHL2,18.3294,82.87,M,0.001377392
CHL3,16.2514,79.49,M,0.002453795
CHL4,15.3349,82.15,M,0.00298928
CHL5,15.5366,85.35,M,0.002942805
CHL6,19.4639,88.05,M,0.001019211
CHL7,20.7715,93.27,M,0.002156165
CHL8,13.8983,78.79,M,0.003350097
CHL9,19.659,89.02,M,0.001095101
CHL10,19.1877,90.24,M,0.001246339
CHL11,19.9736,82.4,M,0.003166501
CON1,14.127,80.47,M,0.002543061
CON2,21.9006,92.13,M,0.000725662
CON3,21.9909,93.27,M,0.001163541
CON4,17.5221,83.59,M,0.001621989
CON5,18.2588,87.16,M,0.000737099
CON6,18.8751,89.27,M,0.001184717
CON7,22.7316,88.86,M,0.002179072
CON8,17.946,82.67,M,0.003789513
CON9,16.8055,88.86,M,0.003437057
CON10,23.7729,100.29,M,0.001573837
CON11,12.2498,71.69,M,0.002936909
D1,20.8503,87.83,M,0.001232294
D2,19.1217,85.92,M,0.001666101
D3,27.3707,92.68,M,0.002916909
D4,19.55,90.42,M,0.004297287
D5,15.8799,82.45,M,0.001446049
D6,15.655,87.64,M,0.001358612
D7,17.7963,87.17,M,0.004835887
D8,16.1829,87.96,M,0.002255579
D9,16.995,95.24,M,0.001905794
D10,18.878,82.83,F,0.002331805
D11,21.023,89.94,M,0.002349212
