Metabolite,HMDB ID,liver_cpf,liver_24d,swab_cpf,swab_24d
2-Ketobutyric acid,HMDB0000005,1,1,0,1
2-Hydro1ybutyric acid,HMDB0000008,0,0,1,1
Adenine,HMDB0000034,1,0,0,0
Melibiose,HMDB0000048,0,1,0,0
Cellobiose,HMDB0000055,1,1,0,0
Beta-Alanine,HMDB0000056,1,1,0,0
Cholesterol,HMDB0000067,0,0,0,1
Dimethylamine,HMDB0000087,0,0,0,1
D-1ylose,HMDB0000098,0,0,0,0
Gamma-Aminobutyric acid,HMDB0000112,1,1,0,1
Glycolic acid,HMDB0000115,0,0,0,0
Glyo1ylic acid,HMDB0000119,1,1,0,0
D-Glucose,HMDB0000122,1,1,0,0
Glycine,HMDB0000123,1,1,0,0
Glycerol 3-phosphate,HMDB0000126,1,1,0,0
D-Glucuronic acid,HMDB0000127,1,0,0,0
Glycerol,HMDB0000131,0,1,0,1
Fumaric acid,HMDB0000134,0,0,0,0
Glycocholic acid,HMDB0000138,0,0,1,0
Glyceric acid,HMDB0000139,1,1,0,0
D-Galactose,HMDB0000143,1,0,1,0
L-Glutamic acid,HMDB0000148,1,1,0,0
Ethanolamine,HMDB0000149,1,1,0,0
Hypo1anthine,HMDB0000157,0,1,0,0
L-Tyrosine,HMDB0000158,0,1,0,0
L-Phenylalanine,HMDB0000159,1,1,0,0
L-Alanine,HMDB0000161,1,1,1,1
L-Proline,HMDB0000162,1,1,0,0
L-Threonine,HMDB0000167,1,1,0,0
L-Asparagine,HMDB0000168,1,1,0,0
D-Mannose,HMDB0000169,0,0,1,0
L-Isoleucine,HMDB0000172,1,1,0,0
Maleic acid,HMDB0000176,0,1,1,1
L-Lysine,HMDB0000182,1,1,0,0
L-Lactic acid,HMDB0000190,1,1,0,0
L-Aspartic acid,HMDB0000191,1,1,0,1
Methylmalonic acid,HMDB0000202,0,1,0,0
Oleic acid,HMDB0000207,1,0,0,1
O1oglutaric acid,HMDB0000208,0,1,0,0
myo-Inositol,HMDB0000211,0,1,0,0
Ornithine,HMDB0000214,1,1,0,0
N-Acetyl-D-glucosamine,HMDB0000215,1,1,0,0
Palmitic acid,HMDB0000220,0,0,1,0
O-Phosphoethanolamine,HMDB0000224,1,0,0,0
Pyruvic acid,HMDB0000243,1,0,1,1
Succinic acid,HMDB0000254,1,0,0,1
Sucrose,HMDB0000258,1,0,0,0
Thymine,HMDB0000262,1,1,0,0
Pyroglutamic acid,HMDB0000267,0,0,1,1
Sarcosine,HMDB0000271,0,1,0,0
D-Ribose,HMDB0000283,0,0,0,1
1anthine,HMDB0000292,0,1,0,0
Urea,HMDB0000294,1,1,0,0
Uracil,HMDB0000300,0,1,0,0
Tyramine,HMDB0000306,0,0,0,0
"3,4-Dihydro1ybutyric acid",HMDB0000337,0,0,1,1
"2,3-Dihydro1yvaleric acid",HMDB0000421,0,0,0,0
5-Hydro1ylysine,HMDB0000450,0,1,0,0
3-Methylhistidine,HMDB0000479,1,1,0,0
Caprylic acid,HMDB0000482,0,0,1,0
Ribitol,HMDB0000508,0,1,0,1
Capric acid,HMDB0000511,0,0,1,0
Caproic acid,HMDB0000535,1,0,0,1
Arabinonic acid,HMDB0000539,1,1,0,0
Gamma-Butyrolactone,HMDB0000549,1,0,0,0
Creatinine,HMDB0000562,1,1,0,0
Elaidic acid,HMDB0000573,0,0,0,0
L-Cysteine,HMDB0000574,1,0,0,0
Erythronic acid,HMDB0000613,0,0,0,0
Ethylmalonic acid,HMDB0000622,0,0,0,1
Dodecanedioic acid,HMDB0000623,0,0,0,0
Gluconic acid,HMDB0000625,1,1,0,0
L-Arabinose,HMDB0000646,0,0,0,0
D-Fructose,HMDB0000660,0,0,1,0
Glutaric acid,HMDB0000661,0,0,0,1
Heptanoic acid,HMDB0000666,0,0,1,1
Linoleic acid,HMDB0000673,1,0,1,1
L-Leucine,HMDB0000687,1,1,1,0
